Clasificacion,Nombre Local,Distribuición,Pagina Web
Cecinas y charcutería,Los Mora,"Cerro Navia, El Bosque, Estación Central, Independencia, La Cisterna, La Florida, La Granja, La Pintana, La Reina, Las Condes, Lo Barnechea, Lo Prado, Macul, Ñuñoa, Pedro Aguirres Cerda, Peñalolén, Providencia, Quinta Normal, Recoleta, Renca, San Joaquín, San Ramon, Santiago Centro y Vitacura.",https://www.instagram.com/losmora.charcuteria/
Cecinas y charcutería,Soler,"La Reina, Las Condes, Lo Barnechea, Ñuñoa, Providencia y Vitacura",http://www.soler.cl/
Cecinas y charcutería,Trujillo,A toda la Región Metropolitana,https://www.trujillo.cl/
Quesos y lácteos,Don Queso,A toda la Región Metropolitana,https://donquesos.cl/shop
Quesos y lácteos,Fundo Requingua,A toda la Región Metropolitana,https://www.instagram.com/fundorequingua/
Quesos y lácteos,Lácteos Talagante,A toda la Región Metropolitana,https://www.lacteostalagante.cl/
Quesos y lácteos,Los Quesos de Chile,"Colina, Las Condes, Lo Barnechea, Ñuñoa, Providencia, Santiago Centro y Vitacura",https://www.losquesosdechile.cl/
Quesos y lácteos,Saborea,A toda la Región Metropolitana,https://www.saborea.cl/quesos
Líquidos,Aguas Alta Montaña,A toda la Región Metropolitana.,https://aguas.altamontana.cl/
Líquidos,Aguas Lirima,"La Florida, La Reina, Las Condes, Ñuñoa, Peñalolén, Providencia, Puente Alto, Santiago Centro y Vitacura",https://aguaslirima.cl/
Líquidos,Agua Premium,A toda la Región Metropolitana.,https://www.aguapremium.cl/
Líquidos,Agua Soda Glaciares,"Conchalí, Huechuraba, Independencia, La Reina, Las Condes, Lo Barnechea, Macul, Ñuñoa, Peñalolén,Recoleta, San Joaquín, San Miguel, Santiago y Vitacura",https://www.aguasodaglaciares.cl/
Líquidos,Aguas Vertientes,A toda la Región Metropolitana,https://aguasvertientes.cl/
Líquidos,Aguas Trayken,"La Florida, Ñuñoa y Peñalolén",https://www.aguastrayken.cl/
Líquidos,Beer Square,"La Reina, Las Condes, Macul, Ñuñoa, Peñalolén, Providencia, Santiago y Vitacura",https://www.beersquare.com/
Líquidos,Beervana,"Las Condes, Lo Barnechea, Macul, Ñuñoa, Providencia, Santiago y Vitacura",https://www.beervana.cl/
Líquidos,Bendito Vino,A toda la Región Metropolitana,https://benditovino.cl/
Líquidos,Berner,A toda la Región Metropolitana,https://www.berner.cl/
Líquidos,Botillería Lo Barnechea,"Las Condes, Lo Barnechea y Vitacura",https://instagram.com/botillerialobarnechea
Líquidos,Casa de la Cerveza,A toda la Región Metropolitana,https://www.casadelacerveza.cl/
Líquidos,Cervecería Stiftbier,A toda la Región Metropolitana,http://stiftbier.cl/index.html
Líquidos,Club de Amantes del Vino (CAV),A toda la Región Metropolitana,https://cav.cl/
Líquidos,Comercial Chi,A toda la Región Metropolitana,https://comercialchi.cl/%20target=
Líquidos,Diez,A toda la Región Metropolitana,http://www.supermercadodiez.cl/
Líquidos,El Cielo,"Cerrillos, Cerro Navia, Conchalí, El Bosque, Estación Central, Huechuraba, Independencia, La Cisterna, La Granja, La Florida, La Reina, Las Condes, Lo Barnechea, Lo Espejo, Lo Prado, Macul, Maipú, Ñuñoa, Pedro Aguirre Cerda, Peñalolén, Puente Alto, Providencia, Pudahuel, Quinta Normal, Recoleta, Renca, San Bernando, San Miguel, San Joaquín, San Ramón, Santiago, Vitacura.",https://www.elcielo.cl/tienda/
