,Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,Tasa
115,Metropolitana,13.0,Lo Barnechea,13115.0,124076.0,68.0,78.0,85.0,97.0,105.0,110.0,116.0,125.0,144.0,157.0,170.0,137.0
116,Metropolitana,13.0,Lo Espejo,13116.0,103865.0,4.0,7.0,9.0,15.0,23.0,34.0,48.0,56.0,60.0,67.0,80.0,77.0
117,Metropolitana,13.0,Lo Prado,13117.0,104403.0,14.0,18.0,20.0,25.0,32.0,35.0,43.0,47.0,62.0,75.0,88.0,84.3
118,Metropolitana,13.0,Macul,13118.0,134635.0,10.0,15.0,23.0,34.0,37.0,43.0,49.0,51.0,57.0,64.0,89.0,66.1
119,Metropolitana,13.0,Maipu,13119.0,578605.0,43.0,55.0,64.0,83.0,106.0,167.0,203.0,241.0,284.0,312.0,364.0,62.9
120,Metropolitana,13.0,Maria Pinto,13504.0,14926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.7
121,Metropolitana,13.0,Melipilla,13501.0,141612.0,6.0,8.0,9.0,11.0,12.0,16.0,17.0,19.0,25.0,35.0,40.0,28.2
122,Metropolitana,13.0,Nunoa,13120.0,250192.0,67.0,84.0,93.0,107.0,118.0,155.0,171.0,188.0,217.0,240.0,269.0,107.5
123,Metropolitana,13.0,Padre Hurtado,13604.0,74188.0,10.0,11.0,14.0,16.0,18.0,20.0,26.0,27.0,28.0,32.0,35.0,47.2
124,Metropolitana,13.0,Paine,13404.0,82766.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,9.0,10.0,11.0,13.0,15.7
125,Metropolitana,13.0,Pedro Aguirre Cerda,13121.0,107803.0,7.0,13.0,13.0,16.0,19.0,36.0,54.0,70.0,78.0,89.0,109.0,101.1
126,Metropolitana,13.0,Penaflor,13605.0,101058.0,10.0,13.0,13.0,18.0,18.0,20.0,25.0,26.0,29.0,35.0,44.0,43.5
127,Metropolitana,13.0,Penalolen,13122.0,266798.0,31.0,46.0,54.0,65.0,78.0,98.0,131.0,137.0,162.0,187.0,209.0,78.3
128,Metropolitana,13.0,Pirque,13202.0,30433.0,0.0,0.0,0.0,4.0,4.0,9.0,10.0,12.0,13.0,14.0,16.0,52.6
129,Metropolitana,13.0,Providencia,13123.0,157749.0,82.0,87.0,94.0,104.0,115.0,129.0,136.0,147.0,164.0,180.0,196.0,124.2
130,Metropolitana,13.0,Pudahuel,13124.0,253139.0,17.0,25.0,32.0,44.0,52.0,67.0,78.0,88.0,103.0,118.0,137.0,54.1
131,Metropolitana,13.0,Puente Alto,13201.0,645909.0,45.0,58.0,76.0,119.0,166.0,239.0,322.0,374.0,472.0,562.0,688.0,106.5
132,Metropolitana,13.0,Quilicura,13125.0,254694.0,17.0,29.0,33.0,51.0,57.0,79.0,94.0,101.0,112.0,129.0,164.0,64.4
133,Metropolitana,13.0,Quinta Normal,13126.0,136368.0,21.0,25.0,35.0,41.0,57.0,69.0,84.0,105.0,125.0,149.0,172.0,126.1
134,Metropolitana,13.0,Recoleta,13127.0,190075.0,17.0,23.0,32.0,44.0,52.0,61.0,73.0,81.0,107.0,126.0,174.0,91.5
135,Metropolitana,13.0,Renca,13128.0,160847.0,9.0,14.0,18.0,19.0,22.0,28.0,42.0,50.0,70.0,82.0,107.0,66.5
136,Metropolitana,13.0,San Bernardo,13401.0,334836.0,32.0,41.0,53.0,74.0,79.0,117.0,140.0,156.0,198.0,237.0,318.0,95.0
137,Metropolitana,13.0,San Joaquin,13129.0,103485.0,13.0,24.0,28.0,36.0,42.0,52.0,58.0,68.0,84.0,101.0,118.0,114.0
138,Metropolitana,13.0,San Jose de Maipo,13203.0,18644.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,7.0,37.5
139,Metropolitana,13.0,San Miguel,13130.0,133059.0,25.0,32.0,39.0,49.0,56.0,69.0,86.0,97.0,111.0,131.0,152.0,114.2
140,Metropolitana,13.0,San Pedro,13505.0,11953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,16.7
141,Metropolitana,13.0,San Ramon,13131.0,86510.0,0.0,6.0,9.0,9.0,12.0,18.0,20.0,27.0,32.0,42.0,66.0,76.3
