ID,Nombre Español,Nombre Ingles,"WORLDM_Country,Other",ECDC_countriesAndTerritories,OURWORLD_Entity,JHONH_Country/Region,Early_COUNTRY,Tipo,Nombre común,"Estado
(forma oficial)",Forma de gobierno,Capital,Continente,Mapa Google,Wikipedia,MapUbicaciónWIKI,Noticias BING,Videos BING,deaths,casesECDC,deathsECDC,confirmadoOURWORLD,muertosOURWORLD,confirmadoJHON,muertosJHON,recuperadosJHON,activosJHON,confirmadoEarly,muertosEarly
87,Irak,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Estado Soberanos,Irak,República de Irak,República parlamentaria,Bagdad,Asia,https://www.google.com/maps/place/Irak,https://es.wikipedia.org/wiki/Irak,https://commons.wikimedia.org/wiki/File:Iraq_in_its_region.svg#/media/File:Iraq_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Iraq&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Iraq&FORM=HDRSC4,46.0,630.0,46.0,772.0,54.0,772.0,54.0,202.0,516.0,722.0,52.0
88,Irán,Iran,Iran,Iran,Iran,Iran,Iran,Estado Soberanos,Irán,República Islámica de Irán,República islámica presidencialista,Teherán,Asia,https://www.google.com/maps/place/Irán,https://es.wikipedia.org/wiki/Irán,https://commons.wikimedia.org/wiki/File:Iran_in_its_region.svg#/media/File:Iran_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Iran&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Iran&FORM=HDRSC4,2757.0,41495.0,2757.0,50468.0,3160.0,50468.0,3160.0,16711.0,30597.0,50468.0,3160.0
89,Irlanda,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Estado Soberanos,Irlanda,República de Irlanda,República parlamentaria,Dublín,Europa,https://www.google.com/maps/place/Irlanda,https://es.wikipedia.org/wiki/Irlanda,https://commons.wikimedia.org/wiki/File:Ireland_in_its_region.svg#/media/File:Ireland_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Ireland&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Ireland&FORM=HDRSC4,54.0,2910.0,54.0,3849.0,98.0,3849.0,98.0,5.0,3746.0,3103.0,85.0
90,Islandia,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Estado Soberanos,Islandia,República de Islandia,República parlamentaria,Reikiavik,Europa,https://www.google.com/maps/place/Islandia,https://es.wikipedia.org/wiki/Islandia,https://commons.wikimedia.org/wiki/File:Iceland_in_its_region.svg#/media/File:Iceland_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Iceland&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Iceland&FORM=HDRSC4,2.0,1086.0,2.0,1319.0,4.0,1319.0,4.0,284.0,1031.0,1020.0,2.0
91,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Estado Soberanos,Israel,Estado de Israel,República parlamentaria,"oficial: Jerusalén​
de facto: Tel Aviv​",Asia,https://www.google.com/maps/place/Israel,https://es.wikipedia.org/wiki/Israel,https://commons.wikimedia.org/wiki/File:Israel_in_its_region.svg#/media/File:Israel_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Israel&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Israel&FORM=HDRSC4,17.0,4473.0,17.0,6252.0,34.0,6857.0,36.0,338.0,6483.0,6323.0,33.0
92,Italia,Italy,Italy,Italy,Italy,Italy,Italy,Estado Soberanos,Italia,República Italiana,República parlamentaria,Roma,Europa,https://www.google.com/maps/place/Italia,https://es.wikipedia.org/wiki/Italia,https://commons.wikimedia.org/wiki/File:Italy_in_its_region.svg#/media/File:Italy_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Italy&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Italy&FORM=HDRSC4,11591.0,101739.0,11591.0,115242.0,13917.0,115242.0,13915.0,18278.0,83049.0,115424.0,13912.0
93,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Estado Soberanos,Jamaica,Jamaica,Monarquía constitucional,Kingston,América,https://www.google.com/maps/place/Jamaica,https://es.wikipedia.org/wiki/Jamaica,https://commons.wikimedia.org/wiki/File:Jamaica_in_its_region.svg#/media/File:Jamaica_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Jamaica&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Jamaica&FORM=HDRSC4,1.0,39.0,1.0,47.0,3.0,47.0,3.0,2.0,42.0,44.0,3.0
94,Japón,Japan,Japan,Japan,Japan,Japan,Japan,Estado Soberanos,Japón,Estado del Japón,Monarquía parlamentaria,Tokio,Asia,https://www.google.com/maps/place/Japón,https://es.wikipedia.org/wiki/Japón,https://commons.wikimedia.org/wiki/File:Japan_in_its_region.svg#/media/File:Japan_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Japan&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Japan&FORM=HDRSC4,56.0,1953.0,56.0,2617.0,63.0,2495.0,62.0,472.0,1961.0,2719.0,61.0
95,Jordania,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Estado Soberanos,Jordania,Reino Hachemita de Jordania,Monarquía constitucional,Amán,Asia,https://www.google.com/maps/place/Jordania,https://es.wikipedia.org/wiki/Jordania,https://commons.wikimedia.org/wiki/File:Jordan_in_its_region.svg#/media/File:Jordan_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Jordan&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Jordan&FORM=HDRSC4,5.0,268.0,5.0,299.0,5.0,299.0,5.0,45.0,249.0,278.0,5.0
96,Kazajistán,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Estado Soberanos,Kazajistán,República de Kazajistán,República semipresidencialista,Nursultán,Europa-Asia,https://www.google.com/maps/place/Kazajistán,https://es.wikipedia.org/wiki/Kazajistán,https://commons.wikimedia.org/wiki/File:Kazakhstan_in_its_region.svg#/media/File:Kazakhstan_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Kazakhstan&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Kazakhstan&FORM=HDRSC4,1.0,325.0,1.0,386.0,3.0,435.0,3.0,27.0,405.0,423.0,3.0
97,Kenia,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Estado Soberanos,Kenia,República de Kenia,República presidencialista,Nairobi,África,https://www.google.com/maps/place/Kenia,https://es.wikipedia.org/wiki/Kenia,https://commons.wikimedia.org/wiki/File:Kenya_in_its_region.svg#/media/File:Kenya_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Kenya&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Kenya&FORM=HDRSC4,1.0,50.0,1.0,110.0,3.0,110.0,3.0,4.0,103.0,81.0,1.0
98,Kirguistán,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Estado Soberanos,Kirguistán,República Kirguisa,República parlamentaria,Biskek,Asia,https://www.google.com/maps/place/Kirguistán,https://es.wikipedia.org/wiki/Kirguistán,https://commons.wikimedia.org/wiki/File:Kyrgyzstan_in_its_region.svg#/media/File:Kyrgyzstan_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Kyrgyzstan&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Kyrgyzstan&FORM=HDRSC4,0.0,84.0,0.0,125.0,1.0,116.0,0.0,5.0,111.0,116.0,0.0
99,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Estado Soberanos,Kiribati,República de Kiribati,República parlamentaria,Tarawa Sur,Oceanía,https://www.google.com/maps/place/Kiribati,https://es.wikipedia.org/wiki/Kiribati,https://commons.wikimedia.org/wiki/File:Kiribati_in_its_region.svg#/media/File:Kiribati_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Kiribati&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Kiribati&FORM=HDRSC4,,,,,,,,,,0.0,0.0
100,Kuwait,Kuwait,Kuwait,Kuwait,Kuwait,Kuwait,Kuwait,Estado Soberanos,Kuwait,Estado de Kuwait,Monarquía constitucional,Ciudad de Kuwait,Asia,https://www.google.com/maps/place/Kuwait,https://es.wikipedia.org/wiki/Kuwait,https://commons.wikimedia.org/wiki/File:Kuwait_in_its_region.svg#/media/File:Kuwait_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Kuwait&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Kuwait&FORM=HDRSC4,0.0,266.0,0.0,342.0,0.0,342.0,0.0,81.0,261.0,342.0,0.0
101,Laos,Laos,Laos,Laos,Laos,Laos,Laos,Estado Soberanos,Laos,República Democrática Popular Lao,Estado socialista,Vientián,Asia,https://www.google.com/maps/place/Laos,https://es.wikipedia.org/wiki/Laos,https://commons.wikimedia.org/wiki/File:Laos_in_its_region.svg#/media/File:Laos_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Laos&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Laos&FORM=HDRSC4,0.0,9.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0
102,Lesoto,Lesotho,Lesotho,Lesotho,Lesotho,Lesotho,Lesotho,Estado Soberanos,Lesoto,Reino de Lesoto,Monarquía parlamentaria,Maseru,África,https://www.google.com/maps/place/Lesoto,https://es.wikipedia.org/wiki/Lesoto,https://commons.wikimedia.org/wiki/File:Lesotho_in_its_region.svg#/media/File:Lesotho_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Lesotho&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Lesotho&FORM=HDRSC4,,,,,,,,,,0.0,0.0
103,Letonia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Estado Soberanos,Letonia,República de Letonia,República parlamentaria,Riga,Europa,https://www.google.com/maps/place/Letonia,https://es.wikipedia.org/wiki/Letonia,https://commons.wikimedia.org/wiki/File:Latvia_in_its_region.svg#/media/File:Latvia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Latvia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Latvia&FORM=HDRSC4,0.0,376.0,0.0,458.0,0.0,458.0,0.0,31.0,427.0,458.0,0.0
104,Líbano,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Estado Soberanos,Líbano,República Libanesa,República parlamentaria,Beirut,Asia,https://www.google.com/maps/place/Líbano,https://es.wikipedia.org/wiki/Líbano,https://commons.wikimedia.org/wiki/File:Lebanon_in_its_region.svg#/media/File:Lebanon_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Lebanon&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Lebanon&FORM=HDRSC4,11.0,446.0,11.0,494.0,16.0,494.0,16.0,46.0,432.0,494.0,16.0
105,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Estado Soberanos,Liberia,República de Liberia,República presidencialista,Monrovia,África,https://www.google.com/maps/place/Liberia,https://es.wikipedia.org/wiki/Liberia,https://commons.wikimedia.org/wiki/File:Liberia_in_its_region.svg#/media/File:Liberia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Liberia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Liberia&FORM=HDRSC4,0.0,3.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,6.0,0.0
106,Libia,Libya,Libya,Libya,Libya,Libya,Libya,Estado Soberanos,Libia,Estado de Libia,Gobierno provisional,Trípoli,África,https://www.google.com/maps/place/Libia,https://es.wikipedia.org/wiki/Libia,https://commons.wikimedia.org/wiki/File:Libya_in_its_region.svg#/media/File:Libya_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Libya&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Libya&FORM=HDRSC4,0.0,8.0,0.0,11.0,1.0,11.0,1.0,0.0,10.0,10.0,0.0
107,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Estado Soberanos,Liechtenstein,Principado de Liechtenstein,Monarquía constitucional,Vaduz,Europa,https://www.google.com/maps/place/Liechtenstein,https://es.wikipedia.org/wiki/Liechtenstein,https://commons.wikimedia.org/wiki/File:Liechtenstein_in_its_region.svg#/media/File:Liechtenstein_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Liechtenstein&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Liechtenstein&FORM=HDRSC4,0.0,64.0,0.0,75.0,0.0,75.0,0.0,0.0,75.0,72.0,0.0
108,Lituania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Estado Soberanos,Lituania,República de Lituania,República semipresidencialista,Vilna,Europa,https://www.google.com/maps/place/Lituania,https://es.wikipedia.org/wiki/Lituania,https://commons.wikimedia.org/wiki/File:Lithuania_in_its_region.svg#/media/File:Lithuania_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Lithuania&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Lithuania&FORM=HDRSC4,7.0,484.0,7.0,649.0,9.0,649.0,9.0,7.0,633.0,649.0,8.0
109,Luxemburgo,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Estado Soberanos,Luxemburgo,Gran Ducado de Luxemburgo,Monarquía constitucional,Ciudad de Luxemburgo,Europa,https://www.google.com/maps/place/Luxemburgo,https://es.wikipedia.org/wiki/Luxemburgo,https://commons.wikimedia.org/wiki/File:Luxembourg_in_its_region.svg#/media/File:Luxembourg_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Luxembourg&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Luxembourg&FORM=HDRSC4,22.0,1988.0,22.0,2487.0,30.0,2487.0,30.0,80.0,2377.0,2319.0,29.0
110,Macedonia del Norte,North Macedonia,North Macedonia,North_Macedonia,Macedonia,North Macedonia,North Macedonia,Estado Soberanos,Macedonia del Norte,República de Macedonia del Norte,República parlamentaria,Skopie,Europa,https://www.google.com/maps/place/Macedonia del Norte,https://es.wikipedia.org/wiki/Macedonia del Norte,https://commons.wikimedia.org/wiki/File:North Macedonia_in_its_region.svg#/media/File:North Macedonia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +North Macedonia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +North Macedonia&FORM=HDRSC4,7.0,285.0,7.0,354.0,11.0,384.0,11.0,17.0,356.0,384.0,11.0
111,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Estado Soberanos,Madagascar,República de Madagascar,República semipresidencialista,Antananarivo,África,https://www.google.com/maps/place/Madagascar,https://es.wikipedia.org/wiki/Madagascar,https://commons.wikimedia.org/wiki/File:Madagascar_in_its_region.svg#/media/File:Madagascar_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Madagascar&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Madagascar&FORM=HDRSC4,0.0,44.0,0.0,59.0,0.0,59.0,0.0,0.0,59.0,57.0,0.0
112,Malasia,Malaysia,Malaysia,Maldives,Malaysia,Malaysia,Malaysia,Estado Soberanos,Malasia,Federación de Malasia,Monarquía constitucional electiva,Kuala Lumpur​,Asia,https://www.google.com/maps/place/Malasia,https://es.wikipedia.org/wiki/Malasia,https://commons.wikimedia.org/wiki/File:Malaysia_in_its_region.svg#/media/File:Malaysia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Malaysia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Malaysia&FORM=HDRSC4,0.0,17.0,0.0,3116.0,50.0,3116.0,50.0,767.0,2299.0,3116.0,50.0
113,Malaui,Malawi,Malawi,Malaysia,Malawi,Malawi,Malawi,Estado Soberanos,Malaui,República de Malaui,República presidencialista,Lilongüe,África,https://www.google.com/maps/place/Malaui,https://es.wikipedia.org/wiki/Malaui,https://commons.wikimedia.org/wiki/File:Malawi_in_its_region.svg#/media/File:Malawi_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Malawi&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Malawi&FORM=HDRSC4,37.0,2626.0,37.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0
114,Maldivas,Maldives,Maldives,Mali,Maldives,Maldives,Maldives,Estado Soberanos,Maldivas,República de Maldivas,República presidencialista,Malé,Asia,https://www.google.com/maps/place/Maldivas,https://es.wikipedia.org/wiki/Maldivas,https://commons.wikimedia.org/wiki/File:Maldives_in_its_region.svg#/media/File:Maldives_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Maldives&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Maldives&FORM=HDRSC4,0.0,18.0,0.0,19.0,0.0,19.0,0.0,13.0,6.0,19.0,0.0
115,Mali / Malí,Mali,Mali,Malta,Mali,Mali,Mali,Estado Soberanos,Mali / Malí,República de Malí,República semipresidencialista,Bamako,África,https://www.google.com/maps/place/Mali / Malí,https://es.wikipedia.org/wiki/Mali / Malí,https://commons.wikimedia.org/wiki/File:Mali_in_its_region.svg#/media/File:Mali_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Mali&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Mali&FORM=HDRSC4,0.0,156.0,0.0,36.0,3.0,36.0,3.0,0.0,33.0,31.0,3.0
116,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Estado Soberanos,Malta,República de Malta,República parlamentaria,La Valeta,Europa,https://www.google.com/maps/place/Malta,https://es.wikipedia.org/wiki/Malta,https://commons.wikimedia.org/wiki/File:Malta_in_its_region.svg#/media/File:Malta_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Malta&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Malta&FORM=HDRSC4,0.0,156.0,0.0,195.0,0.0,196.0,0.0,2.0,194.0,196.0,0.0
117,Marruecos,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Estado Soberanos,Marruecos,Reino de Marruecos,Monarquía constitucional,Rabat,África,https://www.google.com/maps/place/Marruecos,https://es.wikipedia.org/wiki/Marruecos,https://commons.wikimedia.org/wiki/File:Morocco_in_its_region.svg#/media/File:Morocco_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Morocco&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Morocco&FORM=HDRSC4,33.0,556.0,33.0,708.0,44.0,708.0,44.0,31.0,633.0,676.0,40.0
118,Islas Marshall,Marshall Islands,Marshall Islands,Marshall Islands,Marshall Islands,Marshall Islands,Marshall Islands,Estado Soberanos,Islas Marshall,República de las Islas Marshall,República parlamentaria,Majuro,Oceanía,https://www.google.com/maps/place/Islas Marshall,https://es.wikipedia.org/wiki/Islas Marshall,https://commons.wikimedia.org/wiki/File:Marshall Islands_in_its_region.svg#/media/File:Marshall Islands_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Marshall Islands&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Marshall Islands&FORM=HDRSC4,,,,,,,,,,0.0,0.0
119,Mauricio,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Estado Soberanos,Mauricio,República de Mauricio,República parlamentaria,Port Louis,África,https://www.google.com/maps/place/Mauricio,https://es.wikipedia.org/wiki/Mauricio,https://commons.wikimedia.org/wiki/File:Mauritius_in_its_region.svg#/media/File:Mauritius_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Mauritius&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Mauritius&FORM=HDRSC4,3.0,128.0,3.0,169.0,7.0,169.0,7.0,0.0,162.0,161.0,7.0
120,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Estado Soberanos,Mauritania,República Islámica de Mauritania,República islámica semipresidencialista,Nuakchot,África,https://www.google.com/maps/place/Mauritania,https://es.wikipedia.org/wiki/Mauritania,https://commons.wikimedia.org/wiki/File:Mauritania_in_its_region.svg#/media/File:Mauritania_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Mauritania&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Mauritania&FORM=HDRSC4,0.0,5.0,0.0,6.0,1.0,6.0,1.0,2.0,3.0,6.0,1.0
121,México,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Estado Soberanos,México,Estados Unidos Mexicanos,República federal parlamentaria presidencialista,Ciudad de México,América,https://www.google.com/maps/place/México,https://es.wikipedia.org/wiki/México,https://commons.wikimedia.org/wiki/File:Mexico_in_its_region.svg#/media/File:Mexico_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Mexico&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Mexico&FORM=HDRSC4,28.0,1094.0,28.0,1378.0,37.0,1378.0,37.0,35.0,1306.0,1360.0,35.0
122,Micronesia,Micronesia,Micronesia,Micronesia,Micronesia,Micronesia,Micronesia,Estado Soberanos,Micronesia,Estados Federados de Micronesia,República parlamentaria,Palikir,Oceanía,https://www.google.com/maps/place/Micronesia,https://es.wikipedia.org/wiki/Micronesia,https://commons.wikimedia.org/wiki/File:Micronesia_in_its_region.svg#/media/File:Micronesia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Micronesia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Micronesia&FORM=HDRSC4,,,,,,,,,,0.0,0.0
123,Moldavia,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Estado Soberanos,Moldavia,República de Moldavia,República parlamentaria,Chisináu,Europa,https://www.google.com/maps/place/Moldavia,https://es.wikipedia.org/wiki/Moldavia,https://commons.wikimedia.org/wiki/File:Moldova_in_its_region.svg#/media/File:Moldova_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Moldova&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Moldova&FORM=HDRSC4,2.0,298.0,2.0,505.0,6.0,505.0,6.0,23.0,476.0,423.0,4.0
124,Mónaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Estado Soberanos,Mónaco,Principado de Mónaco,Monarquía constitucional,Ciudad de Mónaco,Europa,https://www.google.com/maps/place/Mónaco,https://es.wikipedia.org/wiki/Mónaco,https://commons.wikimedia.org/wiki/File:Monaco_in_its_region.svg#/media/File:Monaco_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Monaco&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Monaco&FORM=HDRSC4,0.0,49.0,0.0,60.0,0.0,60.0,1.0,2.0,57.0,55.0,1.0
125,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Estado Soberanos,Mongolia,Mongolia,República semipresidencialista,Ulán Bator,Asia,https://www.google.com/maps/place/Mongolia,https://es.wikipedia.org/wiki/Mongolia,https://commons.wikimedia.org/wiki/File:Mongolia_in_its_region.svg#/media/File:Mongolia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Mongolia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Mongolia&FORM=HDRSC4,0.0,12.0,0.0,14.0,0.0,14.0,0.0,2.0,12.0,14.0,0.0
126,Montenegro,Montenegro,Montenegro,Montenegro,Montenegro,Montenegro,Montenegro,Estado Soberanos,Montenegro,República de Montenegro,República parlamentaria,Podgorica,Europa,https://www.google.com/maps/place/Montenegro,https://es.wikipedia.org/wiki/Montenegro,https://commons.wikimedia.org/wiki/File:Montenegro_in_its_region.svg#/media/File:Montenegro_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Montenegro&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Montenegro&FORM=HDRSC4,1.0,91.0,1.0,144.0,2.0,144.0,2.0,0.0,142.0,140.0,2.0
127,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Estado Soberanos,Mozambique,República de Mozambique,República semipresidencialista,Maputo,África,https://www.google.com/maps/place/Mozambique,https://es.wikipedia.org/wiki/Mozambique,https://commons.wikimedia.org/wiki/File:Mozambique_in_its_region.svg#/media/File:Mozambique_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Mozambique&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Mozambique&FORM=HDRSC4,0.0,8.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0
128,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Estado Soberanos,Namibia,República de Namibia,República semipresidencialista,Windhoek,África,https://www.google.com/maps/place/Namibia,https://es.wikipedia.org/wiki/Namibia,https://commons.wikimedia.org/wiki/File:Namibia_in_its_region.svg#/media/File:Namibia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Namibia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Namibia&FORM=HDRSC4,0.0,11.0,0.0,13.0,0.0,14.0,0.0,3.0,11.0,14.0,0.0
129,Nauru,Nauru,Nauru,Nauru,Nauru,Nauru,Nauru,Estado Soberanos,Nauru,República de Nauru,República parlamentaria,Yaren​,Oceanía,https://www.google.com/maps/place/Nauru,https://es.wikipedia.org/wiki/Nauru,https://commons.wikimedia.org/wiki/File:Nauru_in_its_region.svg#/media/File:Nauru_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Nauru&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Nauru&FORM=HDRSC4,,,,,,,,,,0.0,0.0
130,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Estado Soberanos,Nepal,República Federal Democrática de Nepal,República parlamentaria,Katmandú,Asia,https://www.google.com/maps/place/Nepal,https://es.wikipedia.org/wiki/Nepal,https://commons.wikimedia.org/wiki/File:Nepal_in_its_region.svg#/media/File:Nepal_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Nepal&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Nepal&FORM=HDRSC4,0.0,5.0,0.0,5.0,0.0,6.0,0.0,1.0,5.0,6.0,0.0
