Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados,Fecha
Biobío,8,Florida,8104,11841.0,0.0,30-03-2020
Biobío,8,Hualpen,8112,97273.0,0.0,30-03-2020
Biobío,8,Hualqui,8105,26201.0,0.0,30-03-2020
Biobío,8,Laja,8304,23873.0,0.0,30-03-2020
Biobío,8,Lebu,8201,27100.0,0.0,30-03-2020
Biobío,8,Los Alamos,8206,22524.0,0.0,30-03-2020
Biobío,8,Los Angeles,8301,218515.0,11.0,30-03-2020
Biobío,8,Lota,8106,45750.0,0.0,30-03-2020
Biobío,8,Mulchen,8305,31041.0,0.0,30-03-2020
Biobío,8,Nacimiento,8306,27944.0,0.0,30-03-2020
Biobío,8,Negrete,8307,10429.0,0.0,30-03-2020
Biobío,8,Penco,8107,49865.0,0.0,30-03-2020
Biobío,8,Quilaco,8308,4179.0,0.0,30-03-2020
Biobío,8,Quilleco,8309,10032.0,0.0,30-03-2020
Biobío,8,San Pedro de la Paz,8108,145906.0,18.0,30-03-2020
Biobío,8,San Rosendo,8310,3611.0,0.0,30-03-2020
Biobío,8,Santa Barbara,8311,14592.0,0.0,30-03-2020
Biobío,8,Santa Juana,8109,14779.0,0.0,30-03-2020
Biobío,8,Talcahuano,8110,158345.0,0.0,30-03-2020
Biobío,8,Tirua,8207,11019.0,0.0,30-03-2020
Biobío,8,Tome,8111,58729.0,4.0,30-03-2020
Biobío,8,Tucapel,8312,15205.0,,30-03-2020
Biobío,8,Yumbel,8313,22132.0,5.0,30-03-2020
Araucanía,9,Angol,9201,56058.0,7.0,30-03-2020
Araucanía,9,Carahue,9102,25486.0,0.0,30-03-2020
Araucanía,9,Cholchol,9121,12341.0,0.0,30-03-2020
Araucanía,9,Collipulli,9202,26148.0,0.0,30-03-2020
Araucanía,9,Cunco,9103,18055.0,0.0,30-03-2020
Araucanía,9,Curacautin,9203,18178.0,0.0,30-03-2020
Araucanía,9,Curarrehue,9104,7802.0,0.0,30-03-2020
Araucanía,9,Ercilla,9204,8458.0,0.0,30-03-2020
Araucanía,9,Freire,9105,25446.0,0.0,30-03-2020
Araucanía,9,Galvarino,9106,12633.0,0.0,30-03-2020
Araucanía,9,Gorbea,9107,15148.0,4.0,30-03-2020
