Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,Tasa
La Araucania,9.0,Teodoro Schmidt,9117.0,15786.0,-,4,-,-,-,4,5,5,31.7
La Araucania,9.0,Tolten,9118.0,10055.0,-,-,4,5,7,7,7,6,59.7
La Araucania,9.0,Traiguen,9210.0,19314.0,-,-,-,-,-,-,2,2,10.4
La Araucania,9.0,Victoria,9211.0,35467.0,5,7,11,12,15,15,15,13,36.7
La Araucania,9.0,Vilcun,9119.0,30766.0,4,5,11,18,20,20,24,27,87.8
La Araucania,9.0,Villarrica,9120.0,59103.0,,4,6,11,15,15,18,19,32.1
La Araucania,9.0,Total,,1014343.0,203,343,432,562,669,712,795,826,81.4
,,,,,,,,,,,,,
Los Rios,14.0,Corral,14102.0,5447.0,-,-,-,-,-,-,-,1,18.4
Los Rios,14.0,Futrono,14202.0,15261.0,-,-,-,5,5,5,5,5,32.8
Los Rios,14.0,La Union,14201.0,39538.0,-,9,10,17,18,18,18,23,58.2
Los Rios,14.0,Lago Ranco,14203.0,10292.0,-,-,-,-,-,-,2,2,19.4
Los Rios,14.0,Lanco,14103.0,17652.0,-,-,-,-,-,-,2,4,22.7
Los Rios,14.0,Los Lagos,14104.0,20518.0,-,-,-,-,-,-,-,-,0.0
Los Rios,14.0,Mafil,14105.0,7389.0,-,-,-,-,-,-,1,1,13.5
Los Rios,14.0,Mariquina,14106.0,23250.0,-,-,-,6,8,8,8,9,38.7
Los Rios,14.0,Paillaco,14107.0,20798.0,-,-,-,-,-,-,1,1,4.8
Los Rios,14.0,Panguipulli,14108.0,35991.0,-,-,-,-,-,-,2,-,0.0
Los Rios,14.0,Rio Bueno,14204.0,32925.0,-,-,-,5,5,5,10,7,21.3
Los Rios,14.0,Valdivia,14101.0,176774.0,12,45,47,65,72,82,88,97,54.9
Los Rios,14.0,Total,,405835.0,16,64,78,104,114,124,138,150,37.0
,,,,,,,,,,,,,
Los Lagos,10.0,Ancud,10202.0,42458.0,-,-,-,-,-,-,3,3,7.1
Los Lagos,10.0,Calbuco,10102.0,36744.0,4,5,5,5,5,5,7,5,13.6
Los Lagos,10.0,Castro,10201.0,47607.0,-,-,-,4,6,7,7,7,14.7
Los Lagos,10.0,Chaiten,10401.0,5020.0,-,-,-,-,-,-,1,1,19.9
Los Lagos,10.0,Chonchi,10203.0,16013.0,-,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Cochamo,10103.0,4006.0,-,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Curaco de Velez,10204.0,4066.0,-,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Dalcahue,10205.0,15069.0,-,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Fresia,10104.0,12656.0,-,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Frutillar,10105.0,20223.0,-,-,-,-,-,-,5,6,29.7
Los Lagos,10.0,Futaleufu,10402.0,2806.0,-,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Hualaihue,10403.0,9525.0,-,-,-,-,-,-,3,3,31.5
Los Lagos,10.0,Llanquihue,10107.0,18621.0,-,-,-,-,-,-,3,1,5.4
Los Lagos,10.0,Los Muermos,10106.0,17817.0,-,-,-,-,-,-,1,1,5.6
Los Lagos,10.0,Maullin,10108.0,14894.0,-,-,-,-,-,-,1,1,6.7
Los Lagos,10.0,Osorno,10301.0,173410.0,66,120,163,190,207,220,232,241,139.0
Los Lagos,10.0,Palena,10404.0,1827.0,-,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Puerto Montt,10101.0,269398.0,34,44,25,35,37,39,68,73,27.1
Los Lagos,10.0,Puerto Octay,10302.0,9192.0,-,-,-,-,-,-,1,1,10.9
Los Lagos,10.0,Puerto Varas,10109.0,48620.0,-,-,-,4,-,-,6,7,14.4
Los Lagos,10.0,Puqueldon,10206.0,4201.0,-,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Purranque,10303.0,21080.0,-,-,5,5,11,16,16,16,75.9
Los Lagos,10.0,Puyehue,10304.0,11787.0,-,-,-,-,-,-,2,1,8.5
Los Lagos,10.0,Queilen,10207.0,5543.0,-,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Quellon,10208.0,29309.0,-,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Quemchi,10209.0,8783.0,-,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Quinchao,10210.0,8298.0,-,-,-,-,-,-,1,1,12.1
Los Lagos,10.0,Rio Negro,10305.0,14275.0,-,-,-,-,-,-,3,3,21.0
Los Lagos,10.0,San Juan de la Costa,10306.0,7639.0,-,-,-,7,11,11,14,13,170.2
Los Lagos,10.0,San Pablo,10307.0,10553.0,-,-,-,-,6,6,6,6,56.9
Los Lagos,10.0,Total,,891440.0,112,181,234,286,325,349,380,390,43.7
,,,,,,,,,,,,,
Aisen,11.0,Aisen,11201.0,25002.0,-,-,4,5,4,4,3,3,12.0
Aisen,11.0,Chile Chico,11401.0,5121.0,-,-,-,-,-,-,1,1,19.5
Aisen,11.0,Cisnes,11202.0,5828.0,-,-,-,-,-,-,-,-,0.0
Aisen,11.0,Cochrane,11301.0,3685.0,-,-,-,-,-,-,-,-,0.0
Aisen,11.0,Coyhaique,11101.0,61210.0,-,-,-,-,-,-,2,2,3.3
Aisen,11.0,Guaitecas,11203.0,1599.0,-,-,-,-,-,-,-,-,0.0
Aisen,11.0,Lago Verde,11102.0,920.0,-,-,-,-,-,-,-,-,0.0
Aisen,11.0,OHiggins,11302.0,661.0,-,-,-,-,-,-,-,-,0.0
Aisen,11.0,Rio Ibanez,11402.0,2699.0,-,-,-,-,-,-,-,-,0.0
Aisen,11.0,Tortel,11303.0,572.0,-,-,-,-,-,-,1,1,174.8
Aisen,11.0,Total,,107297.0,3,3,6,7,7,7,7,7,6.5
,,,,,,,,,,,,,
Magallanes y la Antartica,12.0,Antartica,12202.0,137.0,-,-,-,-,-,-,-,-,0.0
Magallanes y la Antartica,12.0,Cabo de Hornos,12201.0,1983.0,5,6,6,10,11,13,18,18,907.7
Magallanes y la Antartica,12.0,Laguna Blanca,12102.0,264.0,-,-,-,-,-,-,-,-,0.0
Magallanes y la Antartica,12.0,Natales,12401.0,23782.0,-,4,5,5,5,6,6,6,25.2
Magallanes y la Antartica,12.0,Porvenir,12301.0,7323.0,-,-,-,-,-,-,4,4,54.6
Magallanes y la Antartica,12.0,Primavera,12302.0,694.0,-,-,-,-,-,-,-,-,0.0
Magallanes y la Antartica,12.0,Punta Arenas,12101.0,141984.0,29,87,143,203,207,299,387,416,293.0
Magallanes y la Antartica,12.0,Rio Verde,12103.0,211.0,-,-,-,-,-,-,-,-,0.0
Magallanes y la Antartica,12.0,San Gregorio,12104.0,681.0,-,-,-,-,-,-,-,-,0.0
Magallanes y la Antartica,12.0,Timaukel,12303.0,282.0,-,-,-,-,-,-,-,-,0.0
Magallanes y la Antartica,12.0,Torres del Paine,12402.0,1021.0,-,-,-,-,-,-,-,-,0.0
Magallanes y la Antartica,,Total,,178362.0,35,99,156,221,266,331,415,444,248.9
